Year,Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities
2014,1,148,Kaushal Yadav,NAWADA,JD(U),8,Post Graduate,"Rs 15,45,66,136~ 15 Crore+","Rs 26,04,969~ 26 Lacs+"
2014,2,9496,M. Aamir Rashadi,AZAMGARH,Rashtriya Ulama Council,1,Others,"Rs 21,91,523~ 21 Lacs+",Rs 0~
2014,3,9706,Rakesh Kumar Giri,MAHARAJGANJ,IND,0,Graduate Professional,"Rs 3,06,023~ 3 Lacs+",Rs 0~
2014,4,6912,(kuppal)g.devadoss,CHENNAI SOUTH,IND,0,8th Pass,"Rs 36,30,000~ 36 Lacs+","Rs 8,50,000~ 8 Lacs+"
2014,5,74,(maj Gen (retd.) ) Bhuwan Chandra Khanduri (avsm),GARHWAL,BJP,0,Graduate Professional,,
2014,6,1906,A Biju,ALATHUR,IND,0,8th Pass,"Rs 5,64,425~ 5 Lacs+","Rs 1,75,000~ 1 Lacs+"
2014,7,8,A N Radhakrishnan,ERNAKULAM,BJP,0,Graduate,"Rs 78,13,475~ 78 Lacs+",Rs 0~
2014,8,4337,A Nelson,SIVAGANGA,IND,0,12th Pass,"Rs 37,322~ 37 Thou+",Rs 0~
2014,9,4536,A P Jithender Reddy,MAHBUBNAGAR,TRS,4,Graduate,"Rs 14,08,31,576~ 14 Crore+","Rs 13,86,969~ 13 Lacs+"
2014,10,901,A Pandian,ANDAMAN AND NICOBAR ISLANDS,AIFB,0,12th Pass,,
2014,11,1105,A Prasad,KOLAR,IND,0,10th Pass,"Rs 8,40,000~ 8 Lacs+",Rs 0~
2014,12,340,A Sampath,ATTINGAL,CPI(M),1,Doctorate,"Rs 1,77,91,149~ 1 Crore+","Rs 14,21,392~ 14 Lacs+"
2014,13,7501,A Thavamani,MADURAI,BSP,0,Illiterate,"Rs 51,000~ 51 Thou+",Rs 0~
2014,14,173,A Vijayaraghavan,KOZHIKODE,CPI(M),0,Graduate Professional,"Rs 57,57,792~ 57 Lacs+","Rs 1,52,305~ 1 Lacs+"
2014,15,397,A. Devadas,BELLARY,SUCI(C),0,10th Pass,,
2014,16,6929,A. Irudayadass,CHENNAI SOUTH,IND,0,Graduate,"Rs 5,51,640~ 5 Lacs+",Rs 0~
2014,17,6913,A. Jaiganesh,CHENNAI SOUTH,Lok Satta Party,0,Graduate,"Rs 58,55,905~ 58 Lacs+",Rs 0~
2014,18,336,A. Josekutty,KOLLAM,IND,0,10th Pass,"Rs 5,45,117~ 5 Lacs+","Rs 2,24,328~ 2 Lacs+"
2014,19,6943,A. Magesh,CHENNAI SOUTH,IND,0,Graduate,"Rs 68,94,841~ 68 Lacs+","Rs 66,500~ 66 Thou+"
2014,20,1850,A. P. Shamseer,VADAKARA,IND,0,Literate,,
2014,21,117,A. Raghunath Varma,BERHAMPUR,IND,0,Post Graduate,"Rs 2,70,800~ 2 Lacs+",Rs 0~
2014,22,4341,A. Shadhick Batcha,TIRUCHIRAPPALLI,IND,0,Post Graduate,"Rs 7,52,760~ 7 Lacs+","Rs 7,00,000~ 7 Lacs+"
2014,23,3955,A.arunmozhithevan,CUDDALORE,AIADMK,9,Graduate Professional,"Rs 1,57,65,250~ 1 Crore+",Rs 0~
2014,24,4048,A.baskar,CUDDALORE,IND,0,10th Pass,"Rs 11,00,000~ 11 Lacs+",Rs 0~
2014,25,6284,A.ganesan,ARANI,BSP,0,8th Pass,,
2014,26,6356,A.govindasamy,KALLAKURICHI,IND,0,8th Pass,"Rs 18,91,000~ 18 Lacs+","Rs 3,00,000~ 3 Lacs+"
2014,27,5202,A.hamid Sh. Habib,DHULE,IND,3,8th Pass,"Rs 63,500~ 63 Thou+",Rs 0~
2014,28,9741,A.k. Aggarwal,VARANASI,Agar Jan Party,1,10th Pass,"Rs 1,40,58,166~ 1 Crore+",Rs 0~
2014,29,993,A.k. Aggarwal,NORTH EAST DELHI,Agar Jan Party,1,10th Pass,"Rs 1,40,58,166~ 1 Crore+",Rs 0~
2014,30,5381,A.k. Mohan,DURG,AITC,0,10th Pass,,
2014,31,6292,A.k.moorthy,ARANI,PMK,0,Post Graduate,"Rs 5,52,71,210~ 5 Crore+","Rs 1,70,08,423~ 1 Crore+"
2014,32,2206,A.k.parashurama Kotemallur,DAVANAGERE,BSP,0,12th Pass,"Rs 2,15,000~ 2 Lacs+",Rs 0~
2014,33,6357,A.k.perumal,KALLAKURICHI,Jharkhand Mukti Morcha (Ulgulan),0,Post Graduate,"Rs 53,02,255~ 53 Lacs+",Rs 0~
2014,34,700,A.k.salahudeen,KOLLAM,SDPI,1,12th Pass,"Rs 65,62,365~ 65 Lacs+",Rs 0~
2014,35,4041,A.k.sheikdavood,TIRUPPUR,IND,0,Graduate,,
2014,36,7496,A.kannan,MADURAI,IND,0,8th Pass,"Rs 2,62,590~ 2 Lacs+",Rs 0~
2014,37,183,A.krishnappa,TUMKUR,JD(S),0,Graduate,"Rs 70,18,33,242~ 70 Crore+","Rs 17,50,31,509~ 17 Crore+"
