iter	Passed	Remaining
0	168	168720
1	187	93709
2	206	68566
3	229	57031
4	246	48994
5	262	43492
6	281	39912
7	299	37198
8	319	35204
9	338	33486
10	355	31976
11	371	30567
12	386	29373
13	405	28583
14	429	28217
15	449	27645
16	480	27774
17	502	27398
18	520	26869
19	538	26371
20	561	26158
21	578	25730
22	595	25276
23	611	24853
24	628	24493
25	642	24084
26	660	23789
27	677	23513
28	693	23217
29	710	22957
30	731	22869
31	751	22721
32	769	22555
33	788	22389
34	803	22158
35	817	21898
36	911	23726
37	972	24612
38	989	24386
39	1036	24879
40	1053	24642
41	1069	24388
42	1083	24109
43	1100	23909
44	1117	23707
45	1136	23577
46	1154	23416
47	1173	23264
48	1191	23120
49	1208	22965
50	1224	22789
51	1240	22613
52	1257	22476
53	1273	22310
54	1288	22143
55	1303	21972
56	1319	21823
57	1334	21681
58	1352	21572
59	1371	21485
60	1387	21357
61	1403	21236
62	1418	21099
63	1433	20965
64	1449	20848
65	1464	20731
66	1480	20611
67	1495	20503
68	1510	20386
69	1525	20269
70	1540	20159
71	1558	20080
72	1576	20025
73	1593	19940
74	1609	19850
75	1623	19743
76	1639	19652
77	1656	19581
78	1672	19495
79	1687	19411
80	1703	19332
81	1718	19242
82	1733	19154
83	1747	19060
84	1763	18985
85	1781	18928
86	1797	18860
87	1813	18794
88	1828	18721
89	1844	18647
90	1860	18580
91	1875	18514
92	1891	18447
93	1906	18374
94	1921	18307
95	1937	18240
96	1953	18183
97	1971	18142
98	1988	18096
99	2006	18054
100	2022	18002
101	2038	17948
102	2055	17901
103	2070	17841
104	2086	17787
105	2102	17730
106	2118	17680
107	2135	17636
108	2150	17581
109	2167	17534
110	2184	17495
111	2203	17466
112	2219	17421
113	2235	17376
114	2251	17325
115	2266	17274
116	2283	17237
117	2299	17190
118	2315	17142
119	2330	17086
120	2345	17041
121	2360	16987
122	2378	16955
123	2394	16918
124	2412	16887
125	2429	16855
126	2447	16827
127	2464	16788
128	2480	16746
129	2496	16709
130	2513	16673
131	2529	16630
132	2544	16589
133	2561	16551
134	2576	16511
135	2593	16479
136	2608	16430
137	2624	16394
138	2640	16354
139	2655	16309
140	2669	16266
141	2687	16239
142	2703	16200
143	2718	16159
144	2733	16116
145	2747	16072
146	2760	16020
147	2773	15967
148	2787	15920
149	2803	15885
150	2820	15859
151	2838	15835
152	2855	15806
153	2869	15764
154	2883	15721
155	2899	15689
156	2915	15651
157	2930	15617
158	2944	15575
159	2959	15535
160	2972	15491
161	2985	15443
162	2999	15401
163	3014	15367
164	3032	15344
165	3048	15314
166	3062	15277
167	3077	15242
168	3093	15210
169	3110	15184
170	3125	15150
171	3140	15116
172	3155	15083
173	3168	15042
174	3182	15001
175	3195	14962
176	3211	14930
177	3225	14897
178	3244	14882
179	3260	14854
180	3276	14825
181	3291	14792
182	3306	14762
183	3323	14739
184	3338	14707
185	3353	14676
186	3368	14646
187	3384	14617
188	3398	14583
189	3412	14548
190	3427	14517
191	3442	14488
192	3459	14465
193	3473	14432
194	3488	14399
195	3503	14372
196	3519	14344
197	3534	14317
198	3549	14287
199	3564	14257
200	3578	14226
201	3591	14189
202	3605	14155
203	3619	14121
204	3635	14099
205	3653	14080
206	3669	14056
207	3685	14033
208	3700	14004
209	3715	13978
210	3731	13952
211	3746	13925
212	3761	13898
213	3776	13871
214	3791	13842
215	3805	13811
216	3820	13783
217	3833	13753
218	3849	13726
219	3868	13713
220	3885	13694
221	3899	13665
222	3913	13637
223	3928	13608
224	3943	13583
225	3957	13553
226	3973	13530
227	3989	13507
228	4008	13494
229	4024	13471
230	4040	13451
231	4056	13428
232	4071	13403
233	4091	13393
234	4105	13365
235	4121	13342
236	4137	13319
237	4151	13293
238	4166	13267
239	4180	13237
240	4193	13206
241	4206	13175
242	4221	13150
243	4236	13124
244	4253	13107
245	4268	13082
246	4284	13061
247	4301	13043
248	4317	13021
249	4332	12996
250	4348	12977
251	4363	12952
