STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,TOTAL ELECTORS,TOTAL VOTING,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY
Andhra Pradesh,Araku,gumma thanuja rani,1,YSRCP,Ceiling fan,FEMALE,0.0,31.0,ST,Graduate Professional,"Rs 23,54,678~ 23 Lacs+",Rs 0~,471470,5535,477005,1557153,1113975,30.63,42.82
Andhra Pradesh,Araku,kothapalli geetha,0,BJP,Lotus,FEMALE,2.0,53.0,ST,Post Graduate,Unknown,Unknown,417113,9312,426425,1557153,1113975,27.38,38.28
Andhra Pradesh,Araku,appalanarasa pachipenta,0,CPI(M),"Hammer, Sickle and Star",MALE,4.0,41.0,ST,Post Graduate,"Rs 29,25,792~ 29 Lacs+","Rs 2,43,125~ 2 Lacs+",119016,4113,123129,1557153,1113975,7.91,11.05
Andhra Pradesh,Araku,avashya lahari . varam,0,BSP,Elephant,FEMALE,0.0,30.0,ST,Graduate Professional,"Rs 53,90,634~ 53 Lacs+","Rs 16,27,956~ 16 Lacs+",24858,892,25750,1557153,1113975,1.65,2.31
Andhra Pradesh,Araku,samareddy balakrishna,0,IND,Gas cylinder,MALE,0.0,48.0,ST,Post Graduate,Unknown,Unknown,9493,42,9535,1557153,1113975,0.61,0.86
Andhra Pradesh,Araku,nimmaka jayaraju,0,IND,Bat,MALE,0.0,64.0,ST,12th Pass,"Rs 1,26,17,000~ 1 Crore+","Rs 32,28,000~ 32 Lacs+",8798,664,9462,1557153,1113975,0.61,0.85
Andhra Pradesh,Araku,athidhi,0,IND,Plate containing food,FEMALE,0.0,32.0,ST,Graduate,"Rs 20,43,321~ 20 Lacs+","Rs 17,93,245~ 17 Lacs+",8121,15,8136,1557153,1113975,0.52,0.73
Andhra Pradesh,Araku,chanti badnaina,0,JBNP,Battery Torch,MALE,0.0,28.0,ST,12th Pass,"Rs 1,80,000~ 1 Lacs+",Rs 0~,7205,47,7252,1557153,1113975,0.47,0.65
Andhra Pradesh,Araku,mottadam . rajababu,0,BHRTADVSIP,Hockey and ball,MALE,0.0,47.0,ST,Graduate Professional,Nil,Rs 0~,6370,396,6766,1557153,1113975,0.43,0.61
Andhra Pradesh,Araku,ranjith kumar palaka,0,IND,Biscuit,MALE,0.0,42.0,ST,Graduate,"Rs 35,000~ 35 Thou+",Rs 0~,6000,47,6047,1557153,1113975,0.39,0.54
Andhra Pradesh,Araku,mandala giridhara rao,0,IND,Belt,MALE,0.0,42.0,ST,Graduate Professional,"Rs 1,10,000~ 1 Lacs+",Rs 0~,4931,36,4967,1557153,1113975,0.32,0.45
Andhra Pradesh,Araku,rambabu jalli,0,TLRDSMTP,Rubber stamp,MALE,0.0,45.0,ST,10th Pass,"Rs 9,72,850~ 9 Lacs+",Rs 0~,4933,26,4959,1557153,1113975,0.32,0.45
Andhra Pradesh,Araku,vuyaka nireekshan (v. chenchu),0,IPBP,Trumpet,MALE,0.0,43.0,ST,10th Pass,"Rs 4,95,948~ 4 Lacs+",Rs 0~,4500,42,4542,1557153,1113975,0.29,0.41
Andhra Pradesh,Srikakulam,kinjarapu rammohan naidu,1,TDP,Bicycle,MALE,4.0,36.0,GENERAL,Post Graduate,"Rs 23,30,73,561~ 23 Crore+","Rs 2,98,63,859~ 2 Crore+",734501,19827,754328,1646686,1211081,45.81,62.29
Andhra Pradesh,Srikakulam,tilak perada,0,YSRCP,Ceiling fan,MALE,0.0,50.0,GENERAL,Graduate,"Rs 12,75,77,004~ 12 Crore+","Rs 1,08,02,798~ 1 Crore+",420394,6033,426427,1646686,1211081,25.9,35.21
Andhra Pradesh,Srikakulam,pedada parameswara rao,0,INC,Hand,MALE,1.0,59.0,GENERAL,Doctorate,Unknown,Unknown,6724,448,7172,1646686,1211081,0.44,0.59
Andhra Pradesh,Srikakulam,sanapala sravan kumar,0,IND,Bangles,MALE,0.0,38.0,GENERAL,Graduate,"Rs 5,42,91,939~ 5 Crore+","Rs 1,84,29,000~ 1 Crore+",5950,8,5958,1646686,1211081,0.36,0.49
Andhra Pradesh,Srikakulam,naidugari rajasekhar,0,BSP,Elephant,MALE,0.0,40.0,GENERAL,Post Graduate,"Rs 40,000~ 40 Thou+",Rs 0~,4661,81,4742,1646686,1211081,0.29,0.39
Andhra Pradesh,Srikakulam,vaba yogeswara rao,0,IND,Road roller,MALE,3.0,39.0,ST,10th Pass,"Rs 17,12,000~ 17 Lacs+","Rs 6,33,747~ 6 Lacs+",3472,126,3598,1646686,1211081,0.22,0.3
Andhra Pradesh,Srikakulam,betha vivekananda maharaj,0,IND,Matchbox,MALE,0.0,38.0,GENERAL,Graduate,Unknown,Unknown,2523,13,2536,1646686,1211081,0.15,0.21
Andhra Pradesh,Srikakulam,yeddu lakshminarayana,0,IND,Sewing machine,MALE,0.0,66.0,GENERAL,5th Pass,"Rs 8,30,000~ 8 Lacs+","Rs 2,30,000~ 2 Lacs+",1598,7,1605,1646686,1211081,0.1,0.13
Andhra Pradesh,Srikakulam,borubadra chandrakala,0,BCYP,Ganna kisan,FEMALE,0.0,37.0,GENERAL,Post Graduate,"Rs 95,08,000~ 95 Lacs+","Rs 32,58,800~ 32 Lacs+",1315,42,1357,1646686,1211081,0.08,0.11
Andhra Pradesh,Srikakulam,ippili seetharaju,0,JBNP,Battery Torch,MALE,0.0,47.0,GENERAL,Post Graduate,"Rs 44,60,000~ 44 Lacs+","Rs 7,98,810~ 7 Lacs+",1080,50,1130,1646686,1211081,0.07,0.09
Andhra Pradesh,Srikakulam,kaya durgarao,0,NRCP,Bucket,MALE,0.0,34.0,SC,8th Pass,"Rs 5,79,500~ 5 Lacs+",Rs 0~,811,7,818,1646686,1211081,0.05,0.07
Andhra Pradesh,Srikakulam,chelluri daniyal,0,IND,Scissors,MALE,0.0,49.0,SC,Post Graduate,"Rs 12,84,100~ 12 Lacs+","Rs 2,68,471~ 2 Lacs+",796,20,816,1646686,1211081,0.05,0.07
Andhra Pradesh,Srikakulam,bommali tirupati rao,0,PPOI,Flute,MALE,0.0,29.0,GENERAL,Others,Unknown,Unknown,589,5,594,1646686,1211081,0.04,0.05
Andhra Pradesh,Vizianagaram,appalanaidu kalisetti,1,TDP,Bicycle,MALE,0.0,50.0,GENERAL,Graduate Professional,Unknown,Unknown,729284,13829,743113,1590994,1275992,46.71,58.24
Andhra Pradesh,Vizianagaram,bellana chandrasekhar,0,YSRCP,Ceiling fan,MALE,5.0,62.0,GENERAL,Graduate Professional,"Rs 2,20,00,775~ 2 Crore+","Rs 98,52,470~ 98 Lacs+",487691,6071,493762,1590994,1275992,31.03,38.7
Andhra Pradesh,Vizianagaram,bobbili srinu,0,INC,Hand,MALE,0.0,33.0,GENERAL,Graduate,"Rs 1,89,91,100~ 1 Crore+","Rs 38,20,000~ 38 Lacs+",10270,353,10623,1590994,1275992,0.67,0.83
Andhra Pradesh,Vizianagaram,peerubandi prakash rao,0,BSP,Elephant,MALE,0.0,69.0,SC,Graduate Professional,"Rs 50,50,000~ 50 Lacs+","Rs 5,00,000~ 5 Lacs+",7985,53,8038,1590994,1275992,0.51,0.63
Andhra Pradesh,Vizianagaram,veluri venkata trinadharao,0,IND,Sitar,MALE,0.0,58.0,GENERAL,Graduate,Nil,Rs 0~,4146,6,4152,1590994,1275992,0.26,0.33
Andhra Pradesh,Vizianagaram,allu sriramulu,0,IND,Baby walker,MALE,0.0,48.0,GENERAL,8th Pass,"Rs 1,25,000~ 1 Lacs+",Rs 0~,3396,5,3401,1590994,1275992,0.21,0.27
Andhra Pradesh,Vizianagaram,siyyadula yella rao,0,IND,Telephone,MALE,0.0,42.0,SC,12th Pass,"Rs 3,78,000~ 3 Lacs+",Rs 0~,3105,2,3107,1590994,1275992,0.2,0.24
Andhra Pradesh,Vizianagaram,srinivasa rao sambhana (vasu),0,YGATLSIP,Road roller,MALE,0.0,45.0,GENERAL,Unknown,Unknown,Unknown,1758,3,1761,1590994,1275992,0.11,0.14
Andhra Pradesh,Vizianagaram,mariserla krishnamurthy naidu,0,IND,Pot,MALE,0.0,50.0,GENERAL,Others,"Rs 1,58,40,000~ 1 Crore+","Rs 28,07,000~ 28 Lacs+",1617,12,1629,1590994,1275992,0.1,0.13
