Year,Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Constituency Type,State,Gender
2024,1,7366,abu bakar rahmani,MADHUBANI,Country Citizen Party,0,Post Graduate,"Rs 13,58,312~ 13 Lacs+",Rs 0~,,Bihar,Male
2024,2,2858,adv najib shaikh,AKOLA,Indian National League,0,Graduate Professional,"Rs 25,87,782~ 25 Lacs+","Rs 18,00,000~ 18 Lacs+",,Maharashtra,Male
2024,3,8894,advocate balwinder kumar,JALANDHAR,BSP,1,Post Graduate,"Rs 49,72,497~ 49 Lacs+",Rs 0~,,Punjab,Male
2024,4,3436,anandswamy gaddadevarmath,HAVERI,INC,1,Graduate,"Rs 56,81,54,912~ 56 Crore+","Rs 22,46,68,569~ 22 Crore+",,Karnataka,Male
2024,5,220,bhagyaraj. j,VILUPPURAM,AIADMK,0,12th Pass,,,,Tamil Nadu,Male
2024,6,1565,boominathan c,MADURAI,IND,0,5th Pass,"Rs 9,37,466~ 9 Lacs+","Rs 42,000~ 42 Thou+",,Tamil Nadu,Male
2024,7,6,jagadesan a,KALLAKURICHI,Naam Tamilar Katchi,1,Graduate,"Rs 51,76,118~ 51 Lacs+",Rs 0~,,Tamil Nadu,Male
2024,8,1288,karthikairajan p,SIVAGANGA,IND,0,Graduate,"Rs 32,946~ 32 Thou+",Rs 0~,,Tamil Nadu,Male
2024,9,6163,l. khaja hussain,KADAPA,IND,0,Graduate,"Rs 92,46,142~ 92 Lacs+",Rs 0~,,Andhra Pradesh,Male
2024,10,1034,m.nagaraj,CHENNAI CENTRAL,IND,1,Graduate Professional,,,,Tamil Nadu,Male
2024,11,114,p. sivakozhundu,CUDDALORE,DMDK,1,5th Pass,"Rs 84,08,000~ 84 Lacs+","Rs 20,00,000~ 20 Lacs+",,Tamil Nadu,Male
2024,12,1147,"sathiyamoorthy, s.",TIRUVANNAMALAI,Makkal Nala Kazhagam,0,Post Graduate,"Rs 2,39,71,104~ 2 Crore+",Rs 0~,,Tamil Nadu,Male
2024,13,1631,senthilmallar k,RAMANATHAPURAM,IND,1,Post Graduate,"Rs 12,74,059~ 12 Lacs+",Rs 0~,,Tamil Nadu,Male
2024,14,2065,shoban babu v,BANGALORE NORTH,Indian Labour Party (Ambedkar Phule),0,5th Pass,"Rs 50,000~ 50 Thou+",Rs 0~,,Karnataka,Male
2024,15,2628,a . raj,BANGALORE SOUTH,IND,0,Graduate,,,,Karnataka,Male
