Year,Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Constituency Type,State
2024,1,7366,Abu Bakar Rahmani,MADHUBANI,Country Citizen Party,0,Post Graduate,"Rs 13,58,312~ 13 Lacs+",Rs 0~,,Bihar
2024,2,2858,Adv Najib Shaikh,AKOLA,Indian National League,0,Graduate Professional,"Rs 25,87,782~ 25 Lacs+","Rs 18,00,000~ 18 Lacs+",,Maharashtra
2024,3,8894,Advocate Balwinder Kumar,JALANDHAR,BSP,1,Post Graduate,"Rs 49,72,497~ 49 Lacs+",Rs 0~,,Punjab
2024,4,3436,Anandswamy Gaddadevarmath,HAVERI,INC,1,Graduate,"Rs 56,81,54,912~ 56 Crore+","Rs 22,46,68,569~ 22 Crore+",,Karnataka
2024,5,220,Bhagyaraj. J,VILUPPURAM,AIADMK,0,12th Pass,,,,Tamil Nadu
2024,6,1565,Boominathan C,MADURAI,IND,0,5th Pass,"Rs 9,37,466~ 9 Lacs+","Rs 42,000~ 42 Thou+",,Tamil Nadu
2024,7,6,Jagadesan A,KALLAKURICHI,Naam Tamilar Katchi,1,Graduate,"Rs 51,76,118~ 51 Lacs+",Rs 0~,,Tamil Nadu
2024,8,1288,Karthikairajan P,SIVAGANGA,IND,0,Graduate,"Rs 32,946~ 32 Thou+",Rs 0~,,Tamil Nadu
2024,9,6163,L. Khaja Hussain,KADAPA,IND,0,Graduate,"Rs 92,46,142~ 92 Lacs+",Rs 0~,,Andhra Pradesh
2024,10,1034,M.Nagaraj,CHENNAI CENTRAL,IND,1,Graduate Professional,,,,Tamil Nadu
2024,11,114,P. Sivakozhundu,CUDDALORE,DMDK,1,5th Pass,"Rs 84,08,000~ 84 Lacs+","Rs 20,00,000~ 20 Lacs+",,Tamil Nadu
2024,12,1147,"Sathiyamoorthy, S.",TIRUVANNAMALAI,Makkal Nala Kazhagam,0,Post Graduate,"Rs 2,39,71,104~ 2 Crore+",Rs 0~,,Tamil Nadu
2024,13,1631,Senthilmallar K,RAMANATHAPURAM,IND,1,Post Graduate,"Rs 12,74,059~ 12 Lacs+",Rs 0~,,Tamil Nadu
2024,14,2065,Shoban Babu V,BANGALORE NORTH,Indian Labour Party (Ambedkar Phule),0,5th Pass,"Rs 50,000~ 50 Thou+",Rs 0~,,Karnataka
2024,15,2628,A . Raj,BANGALORE SOUTH,IND,0,Graduate,,,,Karnataka
2024,16,1131,A Annadurai,TIRUVANNAMALAI,IND,0,10th Pass,"Rs 6,84,000~ 6 Lacs+",Rs 0~,,Tamil Nadu
2024,17,1138,A Asuvathaman,TIRUVANNAMALAI,BJP,2,Graduate Professional,"Rs 60,23,719~ 60 Lacs+","Rs 29,98,008~ 29 Lacs+",,Tamil Nadu
2024,18,804,A Beemarao Milinthar,VELLORE,United Republican Party of India,0,10th Pass,"Rs 20,000~ 20 Thou+",Rs 0~,,Tamil Nadu
2024,19,5548,A Chinna Moulali,NANDYAL,BSP,0,Graduate Professional,"Rs 85,08,000~ 85 Lacs+","Rs 13,00,000~ 13 Lacs+",,Andhra Pradesh
2024,20,535,A Jayachandran,ARAKKONAM,IND,0,10th Pass,,,,Tamil Nadu
2024,21,1317,A Jinna Mohammed,SRIPERUMBUDUR,IND,0,8th Pass,"Rs 45,000~ 45 Thou+","Rs 49,800~ 49 Thou+",,Tamil Nadu
2024,22,1438,A Muthaiah,TENKASI,IND,0,5th Pass,"Rs 66,289~ 66 Thou+",Rs 0~,,Tamil Nadu
