iter	Passed	Remaining
0	95	95373
1	103	51476
2	111	36966
3	118	29500
4	126	25147
5	133	22045
6	141	20023
7	147	18331
8	155	17161
9	163	16193
10	172	15477
11	179	14739
12	186	14160
13	194	13663
14	201	13209
15	207	12782
16	215	12447
17	222	12125
18	229	11835
19	237	11625
20	243	11361
21	251	11172
22	258	10975
23	265	10816
24	272	10626
25	279	10480
26	286	10326
27	293	10205
28	301	10092
29	308	9969
30	315	9854
31	321	9723
32	328	9627
33	334	9516
34	342	9437
35	349	9355
36	355	9264
37	362	9187
38	368	9091
39	375	9016
40	382	8948
41	390	8902
42	398	8858
43	405	8806
44	412	8751
45	418	8687
46	427	8660
47	433	8601
48	441	8564
49	447	8503
50	455	8467
51	461	8416
52	469	8384
53	476	8340
54	484	8321
55	491	8278
56	497	8227
57	505	8208
58	512	8172
59	520	8158
60	527	8127
61	535	8105
62	542	8061
63	549	8035
64	558	8031
65	565	8009
66	573	7989
67	585	8019
68	591	7985
69	604	8030
70	612	8016
71	622	8027
72	638	8109
73	653	8173
74	661	8153
75	672	8170
76	682	8183
77	691	8178
78	703	8200
79	712	8190
80	720	8179
81	734	8218
82	743	8208
83	752	8210
84	764	8230
85	771	8202
86	782	8211
87	789	8183
88	800	8193
89	811	8205
90	818	8178
91	829	8187
92	838	8175
93	846	8154
94	853	8129
95	860	8103
96	867	8079
97	875	8055
98	883	8040
99	891	8022
100	899	8005
101	906	7980
102	916	7980
103	923	7960
104	932	7950
105	939	7925
106	950	7935
107	958	7914
108	966	7896
109	975	7891
110	985	7894
111	993	7877
112	1002	7872
113	1009	7848
114	1020	7852
115	1032	7866
116	1040	7850
117	1052	7866
118	1065	7891
119	1075	7884
120	1086	7895
121	1098	7905
122	1108	7904
123	1118	7899
124	1130	7916
125	1138	7898
126	1150	7910
127	1162	7922
128	1173	7926
129	1182	7912
130	1193	7919
131	1205	7926
132	1213	7912
133	1222	7900
134	1230	7885
135	1239	7874
136	1246	7851
137	1254	7835
138	1261	7812
139	1270	7806
140	1277	7784
141	1285	7764
142	1292	7746
143	1301	7735
144	1309	7720
145	1317	7706
146	1324	7685
147	1333	7675
148	1340	7655
149	1348	7638
150	1355	7620
151	1363	7604
152	1369	7583
153	1377	7565
154	1384	7547
155	1392	7532
156	1399	7516
157	1408	7504
158	1416	7491
159	1424	7476
160	1432	7467
161	1441	7457
162	1448	7438
163	1456	7422
164	1463	7405
165	1471	7391
166	1479	7379
167	1486	7363
168	1494	7348
169	1501	7331
170	1509	7316
171	1516	7299
172	1524	7287
173	1531	7271
174	1540	7260
175	1547	7245
176	1555	7232
177	1562	7214
178	1570	7202
179	1582	7207
180	1589	7191
181	1595	7172
182	1602	7156
183	1611	7145
184	1618	7130
185	1626	7117
186	1634	7104
187	1641	7088
188	1648	7075
189	1655	7058
